Source Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Organism part]	Term Source REF	Term Accession Number	Characteristics[Sample type]	Term Source REF	Term Accession Number	Protocol REF	Sample Name	Factor Value[Gender]	Term Source REF	Term Accession Number	Factor Value[Group]	Term Source REF	Term Accession Number	Factor Value[Animal ID]	Term Source REF	Term Accession Number	Factor Value[Biological Replicate]	Term Source REF	Term Accession Number	Factor Value[Treatment]	Term Source REF	Term Accession Number	Factor Value[Time (Hrs)]	Unit	Term Source REF	Term Accession Number	Factor Value[Time (Days)]	Unit	Term Source REF	Term Accession Number
CM__QC_media_1	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	pluripotent stem cell-derived cardiomyocyte			pool	NCIT	http://purl.obolibrary.org/obo/NCIT_C68779	Sample collection	CM__QC_media_1																							
CM__QC_media_2	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	pluripotent stem cell-derived cardiomyocyte			pool	NCIT	http://purl.obolibrary.org/obo/NCIT_C68779	Sample collection	CM__QC_media_2																							
CM__QC_media_3	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	pluripotent stem cell-derived cardiomyocyte			pool	NCIT	http://purl.obolibrary.org/obo/NCIT_C68779	Sample collection	CM__QC_media_3																							
CM__QC_media_4	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	pluripotent stem cell-derived cardiomyocyte			pool	NCIT	http://purl.obolibrary.org/obo/NCIT_C68779	Sample collection	CM__QC_media_4																							
CM__QC_media_5	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	pluripotent stem cell-derived cardiomyocyte			pool	NCIT	http://purl.obolibrary.org/obo/NCIT_C68779	Sample collection	CM__QC_media_5																							
CM__blank_media_start	blank			blank			blank			Sample collection	CM__blank_media_start																							
CM__QC_media_6	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	pluripotent stem cell-derived cardiomyocyte			pool	NCIT	http://purl.obolibrary.org/obo/NCIT_C68779	Sample collection	CM__QC_media_6																							
CM__QC_media_7	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	pluripotent stem cell-derived cardiomyocyte			pool	NCIT	http://purl.obolibrary.org/obo/NCIT_C68779	Sample collection	CM__QC_media_7																							
CM__QC_media_8	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	pluripotent stem cell-derived cardiomyocyte			pool	NCIT	http://purl.obolibrary.org/obo/NCIT_C68779	Sample collection	CM__QC_media_8																							
CM__QC_media_9	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	pluripotent stem cell-derived cardiomyocyte			pool	NCIT	http://purl.obolibrary.org/obo/NCIT_C68779	Sample collection	CM__QC_media_9																							
CM__QC_media_10	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	pluripotent stem cell-derived cardiomyocyte			pool	NCIT	http://purl.obolibrary.org/obo/NCIT_C68779	Sample collection	CM__QC_media_10																							
CM__AZ_M6	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	pluripotent stem cell-derived cardiomyocyte			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CM__AZ_M6										1			sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622	24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032				
CM__AZ_M8	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	pluripotent stem cell-derived cardiomyocyte			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CM__AZ_M8										2			control condition	XCO	http://purl.obolibrary.org/obo/XCO_0000099	6	hour	UO	http://purl.obolibrary.org/obo/UO_0000032				
CM__AZ_M3	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	pluripotent stem cell-derived cardiomyocyte			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CM__AZ_M3										1			control condition	XCO	http://purl.obolibrary.org/obo/XCO_0000099	24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032				
CM__AZ_M10	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	pluripotent stem cell-derived cardiomyocyte			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CM__AZ_M10										2			sunitinib 	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622	1	hour	UO	http://purl.obolibrary.org/obo/UO_0000032				
CM__AZ_M17	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	pluripotent stem cell-derived cardiomyocyte			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CM__AZ_M17										3			sunitinib 	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622	6	hour	UO	http://purl.obolibrary.org/obo/UO_0000032				
CM__QC_media_11	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	pluripotent stem cell-derived cardiomyocyte			pool	NCIT	http://purl.obolibrary.org/obo/NCIT_C68779	Sample collection	CM__QC_media_11																							
CM__AZ_M11	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	pluripotent stem cell-derived cardiomyocyte			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CM__AZ_M11										2			sunitinib 	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622	6	hour	UO	http://purl.obolibrary.org/obo/UO_0000032				
CM__AZ_M12	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	pluripotent stem cell-derived cardiomyocyte			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CM__AZ_M12										2			sunitinib 	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622	24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032				
CM__AZ_M7	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	pluripotent stem cell-derived cardiomyocyte			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CM__AZ_M7										2			control condition	XCO	http://purl.obolibrary.org/obo/XCO_0000099	1	hour	UO	http://purl.obolibrary.org/obo/UO_0000032				
CM__AZ_M15	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	pluripotent stem cell-derived cardiomyocyte			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CM__AZ_M15										3			control condition	XCO	http://purl.obolibrary.org/obo/XCO_0000099	24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032				
CM__AZ_M13	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	pluripotent stem cell-derived cardiomyocyte			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CM__AZ_M13										3			control condition	XCO	http://purl.obolibrary.org/obo/XCO_0000099	1	hour	UO	http://purl.obolibrary.org/obo/UO_0000032				
CM__QC_media_12	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	pluripotent stem cell-derived cardiomyocyte			pool	NCIT	http://purl.obolibrary.org/obo/NCIT_C68779	Sample collection	CM__QC_media_12																							
CM__AZ_M5	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	pluripotent stem cell-derived cardiomyocyte			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CM__AZ_M5										1			sunitinib 	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622	6	hour	UO	http://purl.obolibrary.org/obo/UO_0000032				
CM__AZ_M4	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	pluripotent stem cell-derived cardiomyocyte			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CM__AZ_M4										1			sunitinib 	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622	1	hour	UO	http://purl.obolibrary.org/obo/UO_0000032				
CM__AZ_M16	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	pluripotent stem cell-derived cardiomyocyte			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CM__AZ_M16										3			sunitinib 	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622	1	hour	UO	http://purl.obolibrary.org/obo/UO_0000032				
CM__AZ_M9	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	pluripotent stem cell-derived cardiomyocyte			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CM__AZ_M9										2			control condition	XCO	http://purl.obolibrary.org/obo/XCO_0000099	24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032				
CM__AZ_M1	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	pluripotent stem cell-derived cardiomyocyte			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CM__AZ_M1										1			control condition	XCO	http://purl.obolibrary.org/obo/XCO_0000099	1	hour	UO	http://purl.obolibrary.org/obo/UO_0000032				
CM__QC_media_13	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	pluripotent stem cell-derived cardiomyocyte			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CM__QC_media_13																							
CM__AZ_M2	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	pluripotent stem cell-derived cardiomyocyte			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CM__AZ_M2										1			control condition	XCO	http://purl.obolibrary.org/obo/XCO_0000099	6	hour	UO	http://purl.obolibrary.org/obo/UO_0000032				
CM__AZ_M14	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	pluripotent stem cell-derived cardiomyocyte			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CM__AZ_M14										3			control condition	XCO	http://purl.obolibrary.org/obo/XCO_0000099	6	hour	UO	http://purl.obolibrary.org/obo/UO_0000032				
CM__AZ_M18	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	pluripotent stem cell-derived cardiomyocyte			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CM__AZ_M18										3			sunitinib 	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622	24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032				
CM__QC_media_14	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	pluripotent stem cell-derived cardiomyocyte			pool	NCIT	http://purl.obolibrary.org/obo/NCIT_C68779	Sample collection	CM__QC_media_14																							
CM__QC_media_15	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	pluripotent stem cell-derived cardiomyocyte			pool	NCIT	http://purl.obolibrary.org/obo/NCIT_C68779	Sample collection	CM__QC_media_15																							
CM__QC_media_16_MSMS	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	pluripotent stem cell-derived cardiomyocyte			pool	NCIT	http://purl.obolibrary.org/obo/NCIT_C68779	Sample collection	CM__QC_media_16_MSMS																							
CM__QC_media_17_MSMS	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	pluripotent stem cell-derived cardiomyocyte			pool	NCIT	http://purl.obolibrary.org/obo/NCIT_C68779	Sample collection	CM__QC_media_17_MSMS																							
CM__QC_media_18_MSMS	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	pluripotent stem cell-derived cardiomyocyte			pool	NCIT	http://purl.obolibrary.org/obo/NCIT_C68779	Sample collection	CM__QC_media_18_MSMS																							
CM__blank_media_end	blank			blank			blank			Sample collection	CM__blank_media_end																							
CM__QC_cell_1	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	pluripotent stem cell-derived cardiomyocyte			pool	NCIT	http://purl.obolibrary.org/obo/NCIT_C68779	Sample collection	CM__QC_cell_1																							
CM__QC_cell_2	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	pluripotent stem cell-derived cardiomyocyte			pool	NCIT	http://purl.obolibrary.org/obo/NCIT_C68779	Sample collection	CM__QC_cell_2																							
CM__blank_cell_start	blank			blank			blank			Sample collection	CM__blank_cell_start																							
CM__QC_cell_3	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	pluripotent stem cell-derived cardiomyocyte			pool	NCIT	http://purl.obolibrary.org/obo/NCIT_C68779	Sample collection	CM__QC_cell_3																							
CM__QC_cell_4	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	pluripotent stem cell-derived cardiomyocyte			pool	NCIT	http://purl.obolibrary.org/obo/NCIT_C68779	Sample collection	CM__QC_cell_4																							
CM__QC_cell_5	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	pluripotent stem cell-derived cardiomyocyte			pool	NCIT	http://purl.obolibrary.org/obo/NCIT_C68779	Sample collection	CM__QC_cell_5																							
CM__QC_cell_6	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	pluripotent stem cell-derived cardiomyocyte			pool	NCIT	http://purl.obolibrary.org/obo/NCIT_C68779	Sample collection	CM__QC_cell_6																							
CM__QC_cell_7	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	pluripotent stem cell-derived cardiomyocyte			pool	NCIT	http://purl.obolibrary.org/obo/NCIT_C68779	Sample collection	CM__QC_cell_7																							
CM__AZ7	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	pluripotent stem cell-derived cardiomyocyte			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CM__AZ7										2			control condition	XCO	http://purl.obolibrary.org/obo/XCO_0000099	1	hour	UO	http://purl.obolibrary.org/obo/UO_0000032				
CM__AZ15	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	pluripotent stem cell-derived cardiomyocyte			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CM__AZ15										3			control condition	XCO	http://purl.obolibrary.org/obo/XCO_0000099	24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032				
CM__AZ14	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	pluripotent stem cell-derived cardiomyocyte			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CM__AZ14										3			control condition	XCO	http://purl.obolibrary.org/obo/XCO_0000099	6	hour	UO	http://purl.obolibrary.org/obo/UO_0000032				
CM__AZ4	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	pluripotent stem cell-derived cardiomyocyte			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CM__AZ4										1			sunitinib 	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622	1	hour	UO	http://purl.obolibrary.org/obo/UO_0000032				
CM__AZ11	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	pluripotent stem cell-derived cardiomyocyte			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CM__AZ11										2			sunitinib 	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622	6	hour	UO	http://purl.obolibrary.org/obo/UO_0000032				
CM__QC_cell_8	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	pluripotent stem cell-derived cardiomyocyte			pool	NCIT	http://purl.obolibrary.org/obo/NCIT_C68779	Sample collection	CM__QC_cell_8																							
CM__AZ18	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	pluripotent stem cell-derived cardiomyocyte			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CM__AZ18										3			sunitinib 	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622	24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032				
CM__AZ13	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	pluripotent stem cell-derived cardiomyocyte			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CM__AZ13										3			control condition	XCO	http://purl.obolibrary.org/obo/XCO_0000099	1	hour	UO	http://purl.obolibrary.org/obo/UO_0000032				
CM__AZ3	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	pluripotent stem cell-derived cardiomyocyte			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CM__AZ3										1			control condition	XCO	http://purl.obolibrary.org/obo/XCO_0000099	24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032				
CM__AZ1	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	pluripotent stem cell-derived cardiomyocyte			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CM__AZ1										1			control condition	XCO	http://purl.obolibrary.org/obo/XCO_0000099	1	hour	UO	http://purl.obolibrary.org/obo/UO_0000032				
CM__AZ6	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	pluripotent stem cell-derived cardiomyocyte			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CM__AZ6										1			sunitinib 	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622	24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032				
CM__QC_cell_9	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	pluripotent stem cell-derived cardiomyocyte			pool	NCIT	http://purl.obolibrary.org/obo/NCIT_C68779	Sample collection	CM__QC_cell_9																							
CM__AZ5	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	pluripotent stem cell-derived cardiomyocyte			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CM__AZ5										1			sunitinib 	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622	6	hour	UO	http://purl.obolibrary.org/obo/UO_0000032				
