database_identifier	chemical_formula	smiles	inchi	metabolite_identification	mass_to_charge	fragmentation	modifications	charge	retention_time	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	smallmolecule_abundance_sub	smallmolecule_abundance_stdev_sub	smallmolecule_abundance_std_error_sub	feat_ID	Compound_Source	CF_class	CF_class_score	CF_Dparent	CF_Dparent_score	CF_kingdom	CF_kingdom_score	CF_MFramework	CF_MFramework_score	CF_subclass	CF_subclass_score	CF_superclass	CF_superclass_score	PB1_1	PB1_2	PB2_1	PB2_2	PB3_1	PB3_2	PB4_1	PB4_2	PB4_3	QC_POOL1_1	QC_POOL1_2	QC_POOL1_3	QC_POOL1_4	QC_POOL1_5	QC_POOL1_6	QC_POOL1_7	QC_POOL1_8	QC_POOL2_1	QC_POOL2_2	QC_POOL2_3	QC_POOL2_4	QC_POOL2_5	QC_POOL2_6	QC_POOL2_7	QC_POOL2_8	QC_POOL3_1	QC_POOL3_2	QC_POOL3_3	QC_POOL3_4	QC_POOL3_5	QC_POOL3_6	QC_POOL3_7	QC_POOL3_8	SA01_01	SA01_02	SA01_03	SA01_04	SA01_05	SA01_11	SA01_12	SA01_13	SA01_14	SA01_15	SA01_16	SA01_17	SA01_18	SA01_19	SA01_20	SA01_21	SA01_22	SA01_23	SA01_24	SA01_25	SA01_26	SA01_27	SA01_28	SA01_29	SA01_30	SA02_01	SA02_02	SA02_03	SA02_04	SA02_05	SA02_11	SA02_12	SA02_13	SA02_14	SA02_15	SA02_16	SA02_17	SA02_18	SA02_19	SA02_20	SA02_21	SA02_22	SA02_23	SA02_24	SA02_25	SA02_26	SA02_27	SA02_28	SA02_29	SA02_30	SA03_01	SA03_02	SA03_03	SA03_04	SA03_05	SA04_01	SA04_02	SA04_03	SA04_04	SA04_05	SA05_01	SA05_02	SA05_03	SA05_04	SA05_05	SA06_01	SA06_02	SA06_03	SA06_04	SA06_05	SA06_11	SA06_12	SA06_13	SA06_14	SA06_15	SA06_16	SA06_17	SA06_18	SA06_19	SA06_20	SA06_21	SA06_22	SA06_23	SA06_24	SA06_25	SA06_26	SA06_27	SA06_28	SA06_29	SA06_30	SA07_01	SA07_02	SA07_03	SA07_04	SA07_05	SA07_11	SA07_12	SA07_13	SA07_14	SA07_15	SA07_16	SA07_17	SA07_18	SA07_19	SA07_20	SA07_21	SA07_22	SA07_23	SA07_24	SA07_25	SA07_26	SA07_27	SA07_28	SA07_29	SA07_30	SA08_01	SA08_02	SA08_03	SA08_04	SA08_05	SA09_01	SA09_02	SA09_03	SA09_04	SA09_05	SA10_01	SA10_02	SA10_03	SA10_04	SA10_05	SA10_11	SA10_12	SA10_13	SA10_14	SA10_15	SA10_16	SA10_17	SA10_18	SA10_19	SA10_20	SA10_21	SA10_22	SA10_23	SA10_24	SA10_25	SA10_26	SA10_27	SA10_28	SA10_29	SA10_30	SA11_01	SA11_02	SA11_03	SA11_04	SA11_05	SA11_11	SA11_12	SA11_13	SA11_14	SA11_15	SA11_16	SA11_17	SA11_18	SA11_19	SA11_20	SA11_21	SA11_22	SA11_23	SA11_24	SA11_25	SA11_26	SA11_27	SA11_28	SA11_29	SA11_30	SA12_01	SA12_02	SA12_03	SA12_04	SA12_05
					513.731792			0	6.5871363	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/8030	Salmo salar					GNPS					ft_69203		Peptidomimetics	0.18	Hybrid peptides	0.12	Organic compounds	0.29	Aromatic heteropolycyclic compounds	0.18	Amino acids, peptides, and analogues	0.12	Organic acids and derivatives	0.29	20671388	1020502.8	14438561	18907336	0	27273980	0	0	0	0	7472988.5	227677.6	185647.77	0	0	0	68679.39	22058640	23707090	0	22426698	0	132194.2	1395320.9	453044.9	16237251	12038983	8013594	335538.3	8788378	176199.84	732066.7	329051.38	0	616756.6	1262943	809727.06	756877.8	10491238	28238548	14171073	1167714	514487.16	86576288	977980.9	1691324.8	256095.34	0	475235	440508.56	61496068	27771008	249654.12	392973.78	0	21061704	0	46017720	1614192.5	0	10491626	1051320.2	742316.5	328878.2	524374.06	21478242	0	323875.7	286909.62	403055.2	35318612	109328552	358135.28	384440.25	15799508	132762	563891	21708156	17447640	0	551033	25408744	0	643549.75	708156.25	244813.47	187760.38	14578054	795979.44	1131090.5	273775.3	437894.28	527935.4	34135200	35238952	18162822	1227788.2	12597825	0	694333.3	1016290.75	39170996	338945.5	98100.43	614829.7	7577964	12323724	572130.44	28474450	0	20620984	28232056	367981.78	400226.06	272245.62	565092.4	11487391	70522.57	174157.56	50141592	1054344.9	0	54545856	1036058.44	37132236	462697.44	0	57119424	0	41878976	769183.5	0	81594968	0	76488376	602613.44	226081.34	84160984	0	412317.88	69354424	1092815.1	401608	65725220	0	617342.6	355350.5	46077272	1140789.5	71128000	26508282	0	1026718.06	546564.7	28665982	917864.5	0	1059003.9	857405.2	245870.5	0	82396288	1032708.94	458955.56	21702244	0	0	0	54626856	0	49178292	98076376	43999476	10710061	680428.4	0	0	11274638	981535.44	0	190161.06	962523.5	0	90440000	76608160	310718.9	0	43244740	596231.7	21262948	624349.3	14753469	29328074	0	58230160	345209.78	17395794	556345.75	721888.6	454402.8	412933.34	0	844349.75	190398.2	500121.12	0	392089.44	735902.6	99592056	426971.88	1135948.2	1435155.8	24810124
					454.2313139			0	6.6091995	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/8030	Salmo salar					GNPS					ft_70070		Peptidomimetics	0.36	Cyclic depsipeptides	0.36	Organic compounds	0.64	Aromatic heteropolycyclic compounds	0.5	Depsipeptides	0.36	Organic acids and derivatives	0.64	16486401	1709362.9	11490544	16922178	0	860745.25	0	0	0	0	5277765	202753.97	192789.4	20476.488	0	0	66445.37	12642249	16345936	0	1014573.94	0	121669.234	551488.7	281458.8	11596819	5889499.5	6317957	532166.3	5912610	0	311713.5	154528.42	0	637818.75	1060799.8	779186.6	757399.25	7160409	16705121	9269876	1764747.9	747599.06	63527752	1542009.5	2836650.5	466289	88859.67	616615.06	60680.492	36058136	17373412	0	514511.34	0	11472100	0	33162192	1381353.5	0	4587181.5	27244364	623768.8	515832.6	0	658335.4	64213.14	502090.97	485027	551688.2	23737346	54418944	543655	526655	10671849	115470.08	1088142	16573127	12835317	926130.94	1023173	15600425	0	527768.56	706671.3	213305.42	207672.27	6715713	768450.7	1055561.9	252421.86	449885.56	563727	21514724	14334336	9663302	0	5673066.5	64455.836	36240.363	884220.8	14831265	264110.72	103124.01	776437.75	218599.61	9523871	891146.25	17297600	1025541.75	15830349	17496768	583778.2	646053.75	475853.12	1029940.2	5329025	0	274433.97	25494066	1407009	62137.203	36496076	971208.6	19742474	438685.7	0	20375684	0	23532080	1139124.2	0	56694712	425511.1	52982244	960148.1	412165.22	45606036	0	660368.3	36949752	1921423.5	658186.7	41180836	0	811058.6	536022.6	29614432	1038259.3	37623592	12444856	0	934788.6	33293.3	14871356	933125.44	0	898054.94	752858.25	300174.62	376914.06	715936	1045864.9	649568.25	18290344	825323.7	0	0	51547680	0	2062526.2	63600292	808497.9	4514073	1344054	670766.7	0	139619.55	1264268	0	401807.28	1352691.9	1354506.5	1156939.4	848302.5	268849.25	145287.84	23233490	831056.06	12316757	1002751.4	11557680	19593024	16481569	38764360	562426.7	11160195	916879.5	956548.3	0	683406.7	0	1202429.6	247700.53	784879.8	71354.375	581106.3	1200118.1	52516320	441095.3	1035388.94	1309779.4	10746766
					907.4558895			0	6.6156216	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/8030	Salmo salar					GNPS					ft_70321		Polypeptides	0.03	Polypeptides	0.03	Organic compounds	0.03	Aromatic heteropolycyclic compounds	0.03		0.03	Organic Polymers	0.03	4293730.5	385573.62	3329780.2	5584442	0	365290.75	0	0	0	0	650378.4	0	19824.822	0	0	6643.216	31412.105	3644450.8	5052605	0	8652715	0	18868.695	59721.258	42419.65	2095498.5	634719.4	1156180	71706.07	1134918.2	0	41014.18	0	0	64389.17	151387.6	115341.5	201461.19	0	4559820	2234636.2	0	99350.88	39078992	465085.66	428959.22	78538.26	0	0	89572.484	19659112	3500198	0	54631.21	0	2323675	0	41838500	253261.83	0	687762.5	253189.66	150999.66	79912.16	0	9059889	0	59296.188	106355.805	93955.28	30478886	28160252	114575.445	80206.18	0	8608.454	352164.6	5183434	3919032	327888.88	15911051	8536923	0	60271.48	144804.7	27018.424	18391.713	1830119.6	166558.38	227401.6	33818.684	50852.7	110464.42	4408334	7913159.5	0	273349.66	1409036.6	0	84668.23	186893.25	11410786	26887.928	22225.205	164097.45	714050.1	3414986	288189.8	3096769.5	321475.88	2685172	205683.73	116612.71	123928.87	93185.91	199917.14	680457.5	6932.5635	24213.941	18147680	384397.03	0	23015728	261361.44	6037792	47728.316	0	17614808	0	18695892	271796.28	0	36654152	94204.44	25852410	249461.92	75060.45	24103456	0	168756.42	16012878	39684472	144961.31	18517618	0	216363.6	122876.3	26775928	246290.25	16484197	2107427.8	0	139855.73	91937.414	4163561.2	230190.52	0	203705.55	142267.67	58492.996	61357.254	12383510	263782.44	204015.19	3374549.2	0	0	0	23431298	0	31759082	37787584	18082934	666010.3	372724.62	180149.92	0	39365.92	333838.78	0	79258.484	386540.16	321442.88	218936.06	221422.5	25062.31	18053.85	9176412	237502.23	1804481.4	348563.06	2139552.8	6775369	11092298	15148201	152074.98	2809970.5	202261.48	313821.5	0	240182.11	0	356283.56	33383.027	301266.75	0	0	337361.94	32266310	89719.945	308740.03	219995.5	1670158.2
					213.1484089			0	7.9712334	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/8030	Salmo salar					GNPS					ft_126324		no matches	0	no matches	0	no matches	0	no matches	0	no matches	0	no matches	0	2826768.5	2091103.4	2063305.2	1515203.6	0	1375940.9	0	0	0	2093640.1	1810942.4	107920.61	1666762	0	0	0	0	1953423.8	1769041.8	0	1166110.6	0	75812.01	0	0	4026598.5	3732533.2	2874310.2	121558.69	2788531.5	0	0	0	0	1442634.1	831334.1	1179168.1	925099.9	2027023.8	1141829	1815246.6	158383.6	95235.625	1784727.2	105753.35	1748952.2	1384996.5	150030.44	0	108256.05	626298.44	2011314.6	2874800.8	84305.09	89862.85	918918.56	41255.906	1346257.1	1522992.1	21443.656	940805	760914.3	498451.1	1324625	0	956538.6	0	2042518.6	0	1749314.8	690256.06	1045949	0	1955169.9	2018170.8	0	1432782	3252729.8	1435854	947933.8	1115265.5	1260840	64472.21	1824831.2	759200.94	0	73705.73	1043643.3	758940	1294274.9	0	2053082.9	1127830.9	2449299.5	1236554.1	1869468.2	81384.27	1171677.5	1962897.2	110125.68	138886.98	1386864.4	0	0	68463.56	2008443.4	1103021.9	53440.145	2451759.5	0	2523377.2	1021351.3	0	60396.777	1199459.6	1043075.7	1651077.1	20588.217	0	909344.2	0	52113.812	713849.44	1129994.1	2357324.5	120618.766	138469.1	999712.56	110024.17	806250.56	0	96693.06	2628526.2	0	1567009.2	49742.652	0	1960002.5	52256.305	1587687.2	1112653.8	1882764.1	1317731.4	1024771.06	0	1005601.25	923466.2	1065062.8	1093256.9	2162992	2295681	113262.016	1084143.1	0	1785309	89168.08	97539.3	51555.695	0	1085526.9	1041135.2	320464.66	1299412.4	289909.28	2181637.5	72360.86	0	0	2133833	0	2614873.2	786474.56	934347.3	2780937	83981.08	40021.36	0	81631.83	86173.68	0	1073974.8	0	44164.555	1261177.1	728772.25	104202.984	46737.707	1568566.4	730873.3	1720978.8	0	2073650.4	2576885	836750.5	459393.72	31889.611	1783488.9	83776.38	34471.516	0	908629.8	99663.92	1288960.2	40345.03	1154628.5	0	0	1629976.8	1232443.2	0	1169424	1219602.8	2106379.8
					564.3164606			0	8.282339	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/8030	Salmo salar					GNPS					ft_132901		no matches	0	no matches	0	no matches	0	no matches	0	no matches	0	no matches	0	165447.94	132303.73	226493.69	237899.77	186215.2	441515.47	0	0	0	110901.805	108032.3	96066.03	119731.65	0	0	0	0	183790.03	195976.34	158531.58	189102.86	0	0	0	0	142709.33	115712.27	184524.12	129379.77	210945.64	0	0	0	0	104102.766	108163.93	224443.33	152072.81	138361.4	117432.62	156659.53	102810.34	145628.1	182237.03	116596.25	168093.03	76367.48	169228.23	0	51989.473	63851.51	172289.69	140524.06	84350.805	0	29045.688	84100.02	163927	301564.5	0	113997.664	396970	124135.445	81557.695	0	188829.92	0	228268.69	122135.266	73431.93	182941.39	141337.83	107491.88	148221.28	206032.88	0	124010.78	230475.02	280375.72	97067.3	323258.97	196273.36	0	184725.31	238797.55	148125.03	225785.05	157130.86	63265.734	0	189722.47	241929.66	239525	264919.75	271777.66	144418.06	168905.02	138979.58	162537.08	145442.23	155498.19	238073.08	134033.1	0	146249.11	118526.68	198984.69	95580.805	191013.52	117395.97	203343.84	204848.89	136630.4	100737.05	159387.05	208003.08	121464.97	0	133486.08	235476.62	168819.98	0	89692.74	110551.88	169112.89	113036.055	0	220843.66	173023.48	216008.17	123303.74	0	196834.17	76763.52	101995.97	123156.016	85304.49	213968.3	131439.22	142900.61	141980.27	200491.16	81208.35	203442.42	0	75991.85	159637.56	204899.19	137250.38	240284.1	217429.75	0	170776.1	137089.1	186796.02	130419.41	99410.24	148088.31	84470.336	219342.08	158382.69	346896.97	128332.766	112020.02	385565.94	94612.31	0	0	160690.48	102199.58	258797.08	174504.83	249456.58	51943.695	120313.4	125916.06	0	0	263116.84	0	133286.52	129077.69	118788.14	207027.58	122534.555	97601.625	111332.234	183307.03	161687.25	0	88521.67	130640.445	175871.58	0	77173.24	0	190496.55	90426.945	94470.55	170317.73	68827.14	117453.69	213680.06	83117.23	176603.95	111513.14	206511.17	157824.64	196516.36	0	102502.43	243076.27	261062.34
					420.2775364			0	8.301674	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/8030	Salmo salar					GNPS					ft_133258		no matches	0	no matches	0	no matches	0	no matches	0	no matches	0	no matches	0	630117.9	853825.8	685902.56	663711.6	615269.7	1128176.2	0	0	4228.4824	160889.36	177679.61	316801.62	325338.16	0	0	0	0	547883.44	574184.6	632832.56	682245.25	0	26789.7	0	0	193952.45	211120.94	236384.31	262448.56	576060.3	10525.127	0	0	0	405491.47	253951.7	501697.9	462478.28	315466.75	264393.44	0	605668.8	382974.47	464832.78	492542.75	615280.4	268475.9	618015.5	44401.035	393118.94	275338.06	517380.38	397496.78	324462.12	420374.06	174166.89	216835.33	0	677072.6	166251	210575.36	400704.8	299748.72	395507.03	0	578261.6	0	468524.03	420512.4	289009.9	526458.9	487796.4	355991.53	674732.25	359884.84	0	447422.78	474879.75	747462.5	415922.72	852956.1	471499.4	0	494491.8	592226.5	416030.94	588838.56	419428.62	253034.44	404244.03	319043.5	687799.25	543195.56	647465.1	212686.9	248727.14	575566.94	416564.72	488380.62	462410.66	664047.7	358284.56	443391.47	24855.426	426897.88	195192.2	494046.03	440755.4	479528.9	0	573876.2	347842.56	371474.9	545358.56	351954.38	731693.8	440380.03	0	454402.12	474381.5	558610.56	0	306365.03	525477.2	637034.3	544871.8	0	557050.5	585483.2	0	603775.1	573695.94	0	0	357441.62	749109.44	333493.88	574803.8	0	816085.06	635879.7	702758.94	394977.7	575994.7	0	438639.66	183881.3	648192.2	486367	567898.9	587118.94	0	541041.6	555516.2	382738.78	456802.6	378185.25	620652.44	298054.06	532409.94	364985.25	0	545540.56	369208.16	953427.2	479712.9	0	207876.89	633117.1	0	878247.1	0	616719.2	532438.8	539439.6	285950.5	0	36149.004	377607.97	0	328947.3	901727.9	574120.06	438911	305914.62	383175.2	292468.22	419549.2	392433.6	227641.86	0	372187.53	608894.44	911306.75	268209.44	552934.94	613675.5	346946.2	411455.56	210654.31	321292.5	488320.88	739852.44	295847.6	803519.1	353704.25	0	535683.56	0	200801.14	440469.44	531659.44	788453.06
					383.3308057			0	8.864352	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/8030	Salmo salar					GNPS					ft_144264		no matches	0	no matches	0	no matches	0	no matches	0	no matches	0	no matches	0	152098.66	236772.84	221029.48	279614.2	46032.324	179710.44	0	0	0	53523.918	375961.03	0	59240.984	52129.54	0	0	0	140530.16	154600.83	55634.105	150795.77	41772.992	0	0	0	128512.33	243582.55	148145.52	37299.363	225167.03	0	0	0	0	325985.16	142967.86	328322.53	274551.53	292318.03	136265.75	170140.98	111607.92	0	159324.88	0	212938.55	69884.266	73631.734	0	0	125772.57	235491.06	343708.6	0	39727.98	132827.58	15242.545	110773.26	0	13083.959	226282.75	372028.66	259862.58	94472.7	20824.576	63817.652	73614.02	160718.22	0	0	108265.49	96608.31	132402.06	267160.12	297926.1	77381.88	171643.31	300168.9	331804.62	181412.53	83498.445	118163.734	81947.39	389478.53	211361.06	335918.88	62714.312	167800.94	44699.75	363026.5	0	0	286741.1	361388.72	187662.83	303473.06	68097.04	175677.03	254183.08	41393.805	89713.46	171061.12	0	0	39291.234	184947.39	82976.2	0	213937.14	32522.357	124536.09	101536.086	49271.33	159353.17	217599.02	337468.03	227173.69	0	0	136049.33	0	0	60903.035	136454.47	291585.94	340188.1	0	220035.3	0	58448.746	0	43495.58	143238.33	97677.76	167618.64	42570.836	46980.74	214210.84	42111.715	118082.91	140411.97	120183.53	106744.33	220939.27	0	55961.312	84836.1	46124.215	188382.61	328377.66	258936.5	57817.453	291287.78	66969.13	274428.4	54834.395	46902.797	0	31870.984	177678.03	0	398617.1	352045.56	218723.6	430632.06	29038.541	32506.766	77058.625	224325.88	52458.145	281349.1	105033.28	209064.8	80852.7	41666.855	0	0	0	80811.7	0	272504.12	60375.53	149360.72	239726.56	215581.72	46097.57	56652.297	178558.38	42019.51	73770.78	14629.02	147456.19	231681.9	78677.68	104563.52	35019.234	199458.61	157188.61	15602.874	189290.64	75097.56	51828.664	185473.75	20644.4	122823.48	0	55058.355	87870.03	421326.12	33879.664	246356.25	246273.84	395144.34
					593.3684028			0	8.977621	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/8030	Salmo salar					GNPS					ft_146473		no matches	0	no matches	0	no matches	0	no matches	0	no matches	0	no matches	0	387193.94	428021.8	548990.56	620369.9	207418.33	424856.72	0	0	0	178465.75	196608.84	0	205185.23	117385.46	0	0	0	497705.12	509200.16	252786.4	484469.22	229721.84	5573.724	0	0	268893.56	235198.36	239042.17	144442.38	282503.03	0	0	0	0	0	174784.23	191179.33	0	263951.94	190102.45	195024.23	0	0	195983.03	118007.39	0	220906	342970.6	0	200169.83	178861.19	285396.47	426939.38	0	142025.7	220141.92	158941.89	193661.47	0	95215.01	118907.4	283831.72	210753.45	233907.48	0	249409.84	160628.05	243113.44	74418.11	0	198119.7	198057.5	0	340787.44	689578.06	0	151077.86	301982	887165.25	0	197069.78	271155.44	88535.07	0	150331.08	221444.6	315567	182186.23	0	316389.62	0	0	221648.3	287995.75	205275.58	196646.86	183446.22	130878.48	167812.61	281664.28	314951.12	194907.31	0	16595.76	169691.06	170669.06	336513.94	108059.82	302734.72	112204.43	325989.16	170983.81	189616.02	345360.9	231078.36	647902.3	501623.9	0	0	313531.38	213643.9	120773.01	169822.44	191791.03	243265.14	227126.97	0	344069.22	252496.95	219920.19	117893.45	203416.86	196608.56	88108.445	171250.02	130250.836	97480.695	349256.03	133905.11	282907.12	312316.78	239414.52	185256.9	189185.7	0	171251.12	109456.34	165249.42	0	309935.9	231722.75	259851.39	190344.34	143857.16	232110.14	191192.72	121616.016	0	95621.35	0	0	0	189955.61	534874.4	793101.1	143141.78	0	96968.15	473175.56	88233.9	682505	287507.25	234683.52	46617.035	142895.34	0	0	7326.339	131037.55	122610.58	234684.69	135726.86	271624.94	176785.98	158549	0	150078.7	234218.06	148663.27	152604.3	114223.75	273206.44	465262.62	0	145226.94	100706.125	576762.44	253666.1	75836.5	170832.23	135991.48	200801.95	286354.6	125054.33	266552.6	136783.58	328350.6	348775.16	322324.6	87778.01	190170.47	114367.9	333957.75
CHEBI:195271	C49H56N4O8	O1C(CC2N(/N=C\C=3C4=C(C(C(C)C)=C(O)C3O)C=C(C(=C4O)C5=C(O)C=6C(/C=N\N7C(CCC7)CC=8OC=CC8)=C(O)C(O)=C(C6C=C5C)C(C)C)C)C(CC2)C)=CC=C1	InChI=1S/C49H56N4O8/c1-25(2)38-34-19-27(5)40(46(56)42(34)36(44(54)48(38)58)23-50-52-16-8-11-30(52)21-32-12-9-17-60-32)41-28(6)20-35-39(26(3)4)49(59)45(55)37(43(35)47(41)57)24-51-53-29(7)14-15-31(53)22-33-13-10-18-61-33/h9-10,12-13,17-20,23-26,29-31,54-59H,8,11,14-16,21-22H2,1-7H3/b50-23-,51-24-	1-({[2-(2-furylmethyl)-5-methylpyrrolidinyl]amino}methylene)-7-[8-({[2-(2-fury lmethyl)pyrrolidinyl]amino}methylene)-1,6-dihydroxy-3-methyl-5-(methylethyl)-7 -oxo(2-naphthyl)]-3,8-dihydroxy-6-methyl-4-(methylethyl)naphthalen-2-one	415.2112316		M+2H	0	9.172322	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/8030	Salmo salar					GNPS					ft_150159	Commercial		0.19	Lignans, neolignans and related compounds	0.19	Organic compounds	0.19	Aromatic heteropolycyclic compounds	0.19		0.19	Lignans, neolignans and related compounds	0.19	14935982	16776377	18797430	18612042	274887.62	12374883	2535076.5	0	110993.016	10612185	10753733	178130.64	11741035	205837.81	24341.66	0	37149.234	35361460	31541790	481596.88	22098184	0	881208.25	191545.28	15563.117	17545740	15159343	19123196	245529.28	16302807	0	118081.01	33577.375	0	0	3910269	4417795	23047.654	5787504	7713896.5	7473995	79600.68	0	5216320.5	38589.63	0	3620151.2	22715.543	150119.44	74020.76	4763462	5298602.5	6209479	0	145307.77	12090488	76337.086	2946610.8	3475640.2	0	5316328	3624436.2	36178.246	4819489.5	91050.42	9572915	93661.81	14393536	97372.22	0	9609415	9057341	227458.08	12452592	8959983	542606.75	16451886	8260725.5	13683396	0	10964417	12969384	196049.9	0	4442643	79208.04	75057.55	3416417	29858.102	3886701.5	55234.21	0	2749614.8	7997893	3483342	5023514	41111.43	7251602.5	7006937.5	58359.066	60002.65	4475804.5	121358.73	537189.56	182323.23	17864788	7443570	116729.5	14563013	65469.76	11243498	0	70459.9	139426.5	15083578	7122731.5	11591602	5256226	0	41285668	0	186508.14	42646120	24710.479	5380314.5	5843403.5	0	3497150.2	127463.57	12942178	173509.31	364307.2	9808364	215502.81	52544600	49765.08	370296.47	12008658	99327.39	19941466	11544124	9121944	19278372	17710386	0	6556771	32709454	17759306	0	4001440	2876091.2	47992.117	4396886	145477.92	6571346	33887.13	24669.33	2880924	130619.91	0	0	3462761	4812256	7938455	8840817	109624.88	0	1424507	7750558	98634.29	8634096	10163701	12632541	7404782.5	480130.78	120882.586	0	10687919	274577.56	137358.34	17228700	187064.14	118081.32	4257300	3800724.8	134538.05	0	6190536	17824094	65174776	111531.39	15518482	12670464	313434.56	60673624	1162368.1	18209806	16978680	257314.62	0	9938044	195831.67	6932230	749249.6	10733502	394572.9	182480.5	10071081	5513943.5	65125.324	2488115.5	8353124.5	3800576.8
					299.2578699			0	9.6145735	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/8030	Salmo salar					GNPS					ft_158113		Fatty Acyls	0.14	Lineolic acids and derivatives	0.14	Organic compounds	0.14	Aliphatic acyclic compounds	0.14	Lineolic acids and derivatives	0.14	Lipids and lipid-like molecules	0.14	99169.84	0	139894.06	74517.336	41517.926	30057.525	112892.12	0	0	123992.44	126270.23	42193.812	50015.23	13385.703	0	8146.446	102084.695	98492.37	105783.51	30721.738	38837.91	0	0	67798.02	71607.44	135563.55	128784.85	188292.22	0	88089.24	0	58634.42	67046.46	0	74094.71	43223.27	216670.33	68838.06	127821.516	94544.57	104182.27	20959.682	0	145949.14	19231.223	22968.926	136470.23	21235.336	0	33420.69	123776.836	108776.7	100133.586	21294.336	0	75284.87	0	78359.84	44959.426	23775.012	210931.81	182735.98	0	23723.586	74404.21	184900.17	0	129015.94	0	39537.47	118003.99	103844.19	38272.582	59439.273	118724.46	54131.65	189786.4	112312.72	138913.7	45233.688	147226.44	47672.19	0	48544.91	45673.64	28195.273	47984.402	203223.47	32285.09	233486.45	29404.6	74365.766	43062.305	181498.56	248380.02	263289.16	43361.83	289213.12	243423.55	42005.773	49466.21	186913.44	50694.09	0	0	151484.25	209016.97	37376.773	120803.18	0	125643.93	0	41394.758	73304.71	145751.8	190069.45	108547.22	159431.83	0	154296.44	33180.21	64832.863	92281.63	43291.527	189899.55	54515.953	0	252327.25	35260.316	101935.64	0	25616.357	72729.81	0	89046.73	0	0	110055.39	35941.098	150378.67	139393.11	141016.77	39876.227	154880.2	6791.1445	123048.04	157395.98	179023.8	45208.574	214119.66	220792.14	0	158478.84	79413.58	241035.45	64948.406	33970.47	27627.592	23354.629	0	48151.723	80848.41	214734.08	104831.79	138915.58	0	11367.882	0	81550.65	48105.777	54326.53	128712.42	153283.23	614781.9	51618.85	32794.363	0	38405.562	57321.316	0	161653.52	34771.496	29927.697	247900.34	169511.89	68845.43	57285.137	251511.44	47007.73	76882.586	37398.844	233821.81	125181.06	0	83545.93	0	185208.44	69420.586	31615.13	33205.062	104305.34	32301.566	31183.434	19894.41	147176.94	54068.58	34591.242	219544.95	168077.78	0	38114.46	181908.17	129008.88
