Source Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Organism part]	Term Source REF	Term Accession Number	Characteristics[Variant]	Term Source REF	Term Accession Number	Characteristics[Sample type]	Term Source REF	Term Accession Number	Comment[BioSamples accession]	Term Source REF	Term Accession Number	Protocol REF	Sample Name	Factor Value[Animal ID]	Term Source REF	Term Accession Number	Factor Value[Treatment]	Term Source REF	Term Accession Number	Factor Value[Sampling time]	Unit	Term Source REF	Term Accession Number	Factor Value[Tank code]	Term Source REF	Term Accession Number
SA01.01C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952704			Sample collection	SA01_01	SAMEA112949440			Tiger (0%)			0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA01		
SA01.02C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952705			Sample collection	SA01_02	SAMEA112949212			Tiger (0%)			0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA01		
SA01.03C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952706			Sample collection	SA01_03	SAMEA112948947			Tiger (0%)			0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA01		
SA01.04C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952707			Sample collection	SA01_04	SAMEA112949353			Tiger (0%)			0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA01		
SA01.05C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952708			Sample collection	SA01_05	SAMEA112949445			Tiger (0%)			0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA01		
SA01.11C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952709			Sample collection	SA01_11	SAMEA112949531			Tiger (0%)			60	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA01		
SA01.12C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952710			Sample collection	SA01_12	SAMEA112948892			Tiger (0%)			60	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA01		
SA01.13C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952711			Sample collection	SA01_13	SAMEA112949501			Tiger (0%)			60	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA01		
SA01.14C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952712			Sample collection	SA01_14	SAMEA112949330			Tiger (0%)			60	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA01		
SA01.15C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952713			Sample collection	SA01_15	SAMEA112949593			Tiger (0%)			60	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA01		
