Sample Name	Protocol REF	Extract Name	Protocol REF
buccal_mucosa_XOP1	DNA extraction	buccal_DNA_XOG1	genotype profiling
buccal_mucosa_XOP10	DNA extraction	buccal_DNA_XOG10	genotype profiling
buccal_mucosa_XOP2	DNA extraction	buccal_DNA_XOG2	genotype profiling
buccal_mucosa_XOP3	DNA extraction	buccal_DNA_XOG3	genotype profiling
buccal_mucosa_XOP4	DNA extraction	buccal_DNA_XOG4	genotype profiling
buccal_mucosa_XOP5	DNA extraction	buccal_DNA_XOG5	genotype profiling
buccal_mucosa_XOP6	DNA extraction	buccal_DNA_XOG6	genotype profiling
buccal_mucosa_XOP7	DNA extraction	buccal_DNA_XOG7	genotype profiling
buccal_mucosa_XOP8	DNA extraction	buccal_DNA_XOG8	genotype profiling
buccal_mucosa_XOP9	DNA extraction	buccal_DNA_XOG9	genotype profiling
