Sample Name	Protocol REF	Date	Performer	Extract Name	Protocol REF	Date	Performer	Labeled Extract Name	Label	Protocol REF	Date	Performer	Scan Name	Raw Data File
studygroup_03dae58f-4657-48ef-abef-af723be0ae6a_subject#0_sample#0_kidney	RNA extraction	2017-07-05 14:57:38.968750	amy	studygroup_03dae58f-4657-48ef-abef-af723be0ae6a_subject#0_sample#0_kidneyextract-40	nucleic acid library preparation	2017-07-05 14:57:38.968766	xua	studygroup_03dae58f-4657-48ef-abef-af723be0ae6a_subject#0_sample#0_kidneyextract-40labeled-extract-40	none	nucleic acid sequencing	2017-07-05 14:57:38.968801	louis	assay-name-40_library-0_run-0	sequence-data-40_library-0_run-0.fastq.gz
studygroup_03dae58f-4657-48ef-abef-af723be0ae6a_subject#0_sample#0_liver	RNA extraction	2017-07-05 14:57:38.943621	amy	studygroup_03dae58f-4657-48ef-abef-af723be0ae6a_subject#0_sample#0_liverextract-20	nucleic acid library preparation	2017-07-05 14:57:38.943636	xua	studygroup_03dae58f-4657-48ef-abef-af723be0ae6a_subject#0_sample#0_liverextract-20labeled-extract-20	none	nucleic acid sequencing	2017-07-05 14:57:38.943667	louis	assay-name-20_library-0_run-0	sequence-data-20_library-0_run-0.fastq.gz
studygroup_03dae58f-4657-48ef-abef-af723be0ae6a_subject#0_sample#0_liver	RNA extraction	2017-07-05 14:57:38.943621	amy	studygroup_03dae58f-4657-48ef-abef-af723be0ae6a_subject#0_sample#0_liverextract-20	nucleic acid library preparation	2017-07-05 14:57:38.943636	xua	studygroup_03dae58f-4657-48ef-abef-af723be0ae6a_subject#0_sample#0_liverextract-20labeled-extract-20	none	nucleic acid sequencing	2017-07-05 14:57:38.943688	louis	assay-name-20_library-0_run-1	sequence-data-20_library-0_run-1.fastq.gz
studygroup_03dae58f-4657-48ef-abef-af723be0ae6a_subject#0_sample#1_kidney	RNA extraction	2017-07-05 14:57:38.976037	amy	studygroup_03dae58f-4657-48ef-abef-af723be0ae6a_subject#0_sample#1_kidneyextract-41	nucleic acid library preparation	2017-07-05 14:57:38.976069	xua	studygroup_03dae58f-4657-48ef-abef-af723be0ae6a_subject#0_sample#1_kidneyextract-41labeled-extract-41	none	nucleic acid sequencing	2017-07-05 14:57:38.976108	louis	assay-name-41_library-0_run-0	sequence-data-41_library-0_run-0.fastq.gz
studygroup_03dae58f-4657-48ef-abef-af723be0ae6a_subject#1_sample#0_kidney	RNA extraction	2017-07-05 14:57:38.968831	amy	studygroup_03dae58f-4657-48ef-abef-af723be0ae6a_subject#1_sample#0_kidneyextract-42	nucleic acid library preparation	2017-07-05 14:57:38.968844	xua	studygroup_03dae58f-4657-48ef-abef-af723be0ae6a_subject#1_sample#0_kidneyextract-42labeled-extract-42	none	nucleic acid sequencing	2017-07-05 14:57:38.968877	louis	assay-name-42_library-0_run-0	sequence-data-42_library-0_run-0.fastq.gz
studygroup_03dae58f-4657-48ef-abef-af723be0ae6a_subject#1_sample#0_liver	RNA extraction	2017-07-05 14:57:38.943711	amy	studygroup_03dae58f-4657-48ef-abef-af723be0ae6a_subject#1_sample#0_liverextract-21	nucleic acid library preparation	2017-07-05 14:57:38.943778	xua	studygroup_03dae58f-4657-48ef-abef-af723be0ae6a_subject#1_sample#0_liverextract-21labeled-extract-21	none	nucleic acid sequencing	2017-07-05 14:57:38.943874	louis	assay-name-21_library-0_run-1	sequence-data-21_library-0_run-1.fastq.gz
studygroup_03dae58f-4657-48ef-abef-af723be0ae6a_subject#1_sample#0_liver	RNA extraction	2017-07-05 14:57:38.943711	amy	studygroup_03dae58f-4657-48ef-abef-af723be0ae6a_subject#1_sample#0_liverextract-21	nucleic acid library preparation	2017-07-05 14:57:38.943778	xua	studygroup_03dae58f-4657-48ef-abef-af723be0ae6a_subject#1_sample#0_liverextract-21labeled-extract-21	none	nucleic acid sequencing	2017-07-05 14:57:38.943846	louis	assay-name-21_library-0_run-0	sequence-data-21_library-0_run-0.fastq.gz
studygroup_03dae58f-4657-48ef-abef-af723be0ae6a_subject#1_sample#1_kidney	RNA extraction	2017-07-05 14:57:38.976127	amy	studygroup_03dae58f-4657-48ef-abef-af723be0ae6a_subject#1_sample#1_kidneyextract-43	nucleic acid library preparation	2017-07-05 14:57:38.976139	xua	studygroup_03dae58f-4657-48ef-abef-af723be0ae6a_subject#1_sample#1_kidneyextract-43labeled-extract-43	none	nucleic acid sequencing	2017-07-05 14:57:38.976160	louis	assay-name-43_library-0_run-0	sequence-data-43_library-0_run-0.fastq.gz
studygroup_03dae58f-4657-48ef-abef-af723be0ae6a_subject#2_sample#0_kidney	RNA extraction	2017-07-05 14:57:38.968981	amy	studygroup_03dae58f-4657-48ef-abef-af723be0ae6a_subject#2_sample#0_kidneyextract-44	nucleic acid library preparation	2017-07-05 14:57:38.969000	xua	studygroup_03dae58f-4657-48ef-abef-af723be0ae6a_subject#2_sample#0_kidneyextract-44labeled-extract-44	none	nucleic acid sequencing	2017-07-05 14:57:38.969038	louis	assay-name-44_library-0_run-0	sequence-data-44_library-0_run-0.fastq.gz
studygroup_03dae58f-4657-48ef-abef-af723be0ae6a_subject#2_sample#0_liver	RNA extraction	2017-07-05 14:57:38.943904	amy	studygroup_03dae58f-4657-48ef-abef-af723be0ae6a_subject#2_sample#0_liverextract-22	nucleic acid library preparation	2017-07-05 14:57:38.943927	xua	studygroup_03dae58f-4657-48ef-abef-af723be0ae6a_subject#2_sample#0_liverextract-22labeled-extract-22	none	nucleic acid sequencing	2017-07-05 14:57:38.943980	louis	assay-name-22_library-0_run-1	sequence-data-22_library-0_run-1.fastq.gz
