Source Name	Characteristics[barcode identifier]	Characteristics[material role]	Characteristics[chemical compound]	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Organism part]	Term Source REF	Term Accession Number	Protocol REF	Date	Sample Name	Material Type	
102920_S9	1024506648	specimen	not applicable	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	sample collection		102920_S9	specimen
102044	1024502879	specimen	not applicable	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	sample collection		102044	specimen
102910_J8	1024506546	specimen	not applicable	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	sample collection		102910_J8	specimen
102028	1024502710	specimen	not applicable	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	sample collection		102028	specimen
102031	1024502743	specimen	not applicable	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	sample collection		102031	specimen
BLANK	10000001	negative control	no sample to pipette	not applicable			not applicable			sample collection		BLANK	negative control
102933_N4	1024506773	specimen	not applicable	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	sample collection		102933_N4	specimen
102932_N3	1024506769	specimen	not applicable	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	sample collection		102932_N3	specimen
102024	1024502675	specimen	not applicable	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	sample collection		102024	specimen
102916_S5	1024506600	specimen	not applicable	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	sample collection		102916_S5	specimen
102049	1024502928	specimen	not applicable	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	sample collection		102049	specimen
102040	1024502831	specimen	not applicable	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	sample collection		102040	specimen
102032	1024502758	specimen	not applicable	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	sample collection		102032	specimen
102909_J7	1024506531	specimen	not applicable	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	sample collection		102909_J7	specimen
102903_J1	1024506478	specimen	not applicable	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	sample collection		102903_J1	specimen
