Source Name	Characteristics[specimen type]	Characteristics[barcode identifier]	Characteristics[internal_ID]	Characteristics[resolute_ID]	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[cell line]	Term Source REF	Term Accession Number	Characteristics[qc element]	Protocol REF	Date	Sample Name	Characteristics[material type]	Term Source REF	Term Accession Number	Factor Value[cell seeding density]	Factor Value[replicate number]	Factor Value[extraction volume]	Unit
102920_S9	specimen	1024506648	102920.0	SM0204-Z	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	SK-MEL-28	cellosaurus	 https://web.expasy.org/cellosaurus/CVCL_0526	not applicable	sample collection		102920_S9	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	1000000.0	3.0	1500.0	µl
102044	specimen	1024502879	102044.0	SM01XM-G	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	HCT-116	cellosaurus	 https://web.expasy.org/cellosaurus/CVCL_0291	not applicable	sample collection		102044	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	250000.0	3.0	750.0	µl
102910_J8	specimen	1024506546	102910.0	SM01ZS-Y	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	JumpIn	cellosaurus		not applicable	sample collection		102910_J8	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	1000000.0	2.0	1500.0	µl
102028	specimen	1024502710			Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606		cellosaurus		not applicable	sample collection		102028	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423				µl
102031	specimen	1024502743			Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606		cellosaurus		not applicable	sample collection		102031	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423				µl
BLANK	negative control	10000001			not applicable				cellosaurus		no sample to pipette	sample collection		BLANK	not applicable						µl
102933_N4	specimen	1024506773	102933.0	SM020K-6	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	1321N1 	cellosaurus	 https://web.expasy.org/cellosaurus/CVCL_0110	not applicable	sample collection		102933_N4	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	500000.0	1.0	1500.0	µl
102932_N3	specimen	1024506769	102932.0	SM020H-0	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	1321N1 	cellosaurus	 https://web.expasy.org/cellosaurus/CVCL_0110	not applicable	sample collection		102932_N3	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	250000.0	3.0	1500.0	µl
102024	specimen	1024502675			Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606		cellosaurus		not applicable	sample collection		102024	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423				µl
102916_S5	specimen	1024506600	102916.0	SM0200-9	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	SK-MEL-28	cellosaurus	 https://web.expasy.org/cellosaurus/CVCL_0526	not applicable	sample collection		102916_S5	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	500000.0	2.0	1500.0	µl
102049	specimen	1024502928	102049.0	SM01XT-F	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	HCT-116	cellosaurus	 https://web.expasy.org/cellosaurus/CVCL_0291	not applicable	sample collection		102049	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	1000000.0	2.0	750.0	µl
102040	specimen	1024502831	102040.0	SM01ZE-0	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	LS180	cellosaurus	 https://web.expasy.org/cellosaurus/CVCL_0397	not applicable	sample collection		102040	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	1000000.0	2.0	750.0	µl
102032	specimen	1024502758			Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606		cellosaurus		not applicable	sample collection		102032	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423				µl
102909_J7	specimen	1024506531	102909.0	SM01ZR-G	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	JumpIn	cellosaurus		not applicable	sample collection		102909_J7	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	1000000.0	1.0	1500.0	µl
