LC/MS Study (Mass Spectometry)									
Parameter Value[Instrument]	Parameter Value[Ion source]	Parameter Value[Mass analyzer]							
AB SCIEX API 4000	MS:electrospray ionization	triple quadrapole							
AB SCIEX QTRAP 4000	MS:nanoelectrospray	hybrid triple quadrupole-linear ion trap							
AB SCIEX QTRAP 4500	secondary electrospray ionization	triple quadrapole							
AB SCIEX QTRAP 4500	MS:atmospheric pressure chemical ionization	hybrid triple quadrupole-linear ion trap							
AB SCIEX QTRAP 5500		CHMO:linear quadrupole ion trap mass-to-charge analyser							
AB SCIEX QTRAP 5500		triple quadrapole							
AB SCIEX QTRAP 6500		hybrid triple quadrupole-linear ion trap							
AB SCIEX Triple Quad 5500		triple quadrupole							
AB SCIEX TripleTOF 5600		quadrupole time-of-flight							
AB SCIEX TripleTOF 5600+		quadrupole time-of-flight							
AB SCIEX TripleTOF 6600		quadrupole time-of-flight							
AB SCIEX TripleTOF 6600+		quadrupole time-of-flight							
Agilent 6210 TOF		MS:time-of-flight							
Agilent 6224 Accurate-Mass TOF		MS:time-of-flight							
Agilent 6230 Accurate-Mass TOF		MS:time-of-flight							
Agilent 6430 Triple Quadrupole		triple quadrupole							
Agilent 6460 Triple Quadrupole		triple quadrupole							
Agilent 6490 Triple Quadrupole		triple quadrupole							
Agilent 6495 Triple Quadrupole		triple quadrupole							
Agilent 6495A Triple Quadrupole		triple quadrupole							
Agilent 6520 Q-TOF		quadrupole time-of-flight							
Agilent 6520A Q-TOF		quadrupole time-of-flight							
Agilent 6530 Accurate-Mass Q-TOF		quadrupole time-of-flight							
Agilent 6530A Accurate-Mass Q-TOF		quadrupole time-of-flight							
Agilent 6530B Accurate-Mass Q-TOF		quadrupole time-of-flight							
Agilent 6540 Q-TOF		quadrupole time-of-flight							
Agilent 6545 Q-TOF		quadrupole time-of-flight							
Agilent 6550 iFunnel Q-TOF		quadrupole time-of-flight							
Agilent 6560 Ion Mobility Q-TOF		quadrupole time-of-flight							
Bruker APEX-Qe 9.4T		CHMO:ion cyclotron resonance cell							
Bruker CaptiveSpray nanoBooster and amaZon speed		MS:ion trap							
Bruker compact		quadrupole time-of-flight							
Bruker Esquire 3000		MS:quadrupole ion trap							
Bruker Esquire 6000		MS:quadrupole ion trap							
Bruker impact II UHR-TOF		quadrupole time-of-flight							
Bruker maXis impact UHR-QTOF		quadrupole time-of-flight							
Bruker maXis UHR-ToF		quadrupole time-of-flight							
Bruker maXis 4G UHR-ToF		quadrupole time-of-flight							
Bruker micrOTOF		MS:time-of-flight							
Bruker micrOTOF-Q I		quadrupole time-of-flight							
Bruker micrOTOF-Q II		quadrupole time-of-flight							
Bruker micrOTOF-Q III		quadrupole time-of-flight							
Bruker scimaX MRMS		CHMO:ion cyclotron resonance cell							
Bruker solariX FTMS		CHMO:ion cyclotron resonance cell							
Shimadzu LCMS-8050		triple quadrupole							
Shimadzu LCMS-IT-TOF		ion trap time-of-flight							
Thermo Fisher LTQ		CHMO:linear quadrupole ion trap mass-to-charge analyser							
Thermo Scientific Exactive		MS:orbitrap							
Thermo Scientific Exactive Plus		MS:orbitrap							
Thermo Scientific LTQ FT Ultra		CHMO:ion cyclotron resonance cell							
Thermo Scientific LTQ FT Ultra		CHMO:linear quadrupole ion trap mass-to-charge analyser							
Thermo Scientific LTQ Orbitrap		MS:orbitrap							
Thermo Scientific LTQ Orbitrap Classic		MS:orbitrap							
Thermo Scientific LTQ Orbitrap Classic		CHMO:linear quadrupole ion trap mass-to-charge analyser							
Thermo Scientific LTQ Orbitrap XL		MS:orbitrap							
Thermo Scientific LTQ Orbitrap XL		CHMO:linear quadrupole ion trap mass-to-charge analyser							
Thermo Scientific LTQ Orbitrap Discovery		MS:orbitrap							
Thermo Scientific LTQ Orbitrap Velos		MS:orbitrap							
Thermo Scientific LTQ Orbitrap Velos ETD		MS:orbitrap							
Thermo Scientific LTQ Linear Ion Trap		CHMO:linear quadrupole ion trap mass-to-charge analyser							
Thermo Scientific LTQ XL linear ion trap		CHMO:linear quadrupole ion trap mass-to-charge analyser							
Thermo Scientific Orbitrap Elite		MS:orbitrap							
Thermo Scientific Orbitrap Fusion		MS:orbitrap							
Thermo Scientific Orbitrap Fusion Lumos Tribrid		MS:orbitrap							
Thermo Scientific Orbitrap Velos Pro		MS:orbitrap							
Thermo Scientific Q Exactive		MS:orbitrap							
Thermo Scientific Q Exactive Focus		MS:orbitrap							
Thermo Scientific Q Exactive HF		MS:orbitrap							
Thermo Scientific Q Exactive Plus		MS:orbitrap							
Thermo Scientific TSQ Quantiva		triple quadrupole							
Thermo Scientific TSQ Quantum Access MAX		triple quadrupole							
Thermo Scientific TSQ Quantum Ultra		triple quadrupole							
Thermo Scientific TSQ Vantage		triple quadrupole							
Thermo Scientific Velos Pro		MS:ion trap							
Waters ACQUITY TQD		triple quadrupole							
Waters LCT Premier		MS:time-of-flight							
Waters Micromass Q-Tof micro		quadrupole time-of-flight							
Waters Micromass Quattro micro API		triple quadrupole							
Waters Q-Tof Premier		quadrupole time-of-flight							
Waters Quattro Premier XE		triple quadrupole							
Waters SYNAPT G1 HDMS System		quadrupole time-of-flight							
Waters SYNAPT G2 HDMS System		quadrupole time-of-flight							
Waters SYNAPT G2-S HDMS		quadrupole time-of-flight							
Waters SYNAPT G2-Si HDMS		quadrupole time-of-flight							
Waters SYNAPT HDMS System		quadrupole time-of-flight							
Waters Xevo G2 Tof		MS:time-of-flight							
Waters Xevo G2 QTof		quadrupole time-of-flight							
Waters Xevo G2-S QTof		quadrupole time-of-flight							
Waters Xevo G2-S Tof		MS:time-of-flight							
Waters Xevo G2-XS QTof		quadrupole time-of-flight							
Waters Xevo TQ		triple quadrupole							
Waters Xevo TQ MS		triple quadrupole							
Waters Xevo TQ-S		triple quadrupole							
Waters Xevo TQ-S micro		triple quadrupole							
Waters Xevo TQ-XS		triple quadrupole							
