Parameter Value[Chromatography Instrument]	Parameter Value[Column model]	Parameter Value[Column type]	
Agilent 1100 Series HPLC System	"Acclaim 120 C18 (2.2 µm, 2.1 mm x 150 mm; Thermo Scientific)"	reverse phase	
Agilent 1100 Series LC	"Acclaim C18 (2.2 µm, 2.1 mm x 150 mm; Thermo Scientific)"	reverse phase	
Agilent 1200 Series HPLC System	"Acclaim C30 (3 µm, 2.1 mm x 150 mm, Thermo Scientific)"	reverse phase	
Agilent 1200 Series Rapid Resolution LC System	"Acclaim C30 (3 µm, 3 mm x 150 mm; Thermo Scientific)"	reverse phase	
Agilent 1220 Infinity LC	"Acclaim PepMap RSLC C18 100 Å (2 µm, 0.075 mm x 150 mm; Thermo Scientific)"	reverse phase	
Agilent 1260 Infinity HPLC	"Acclaim PepMap100 C18 100 Å (5 µm, 0.1 mm x 20 mm; Thermo Scientific)"	reverse phase	
Agilent 1260 Infinity LC	"Acclaim Polar Advantage II (3 µm, 3 mm x 150 mm; Thermo Scientific)"	reverse phase	
Agilent 1260 Infinity II LC System	"AccQ-Tag Ultra C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	reverse phase	
Agilent 1290 Infinity HPLC	"AccQ-Tag Ultra RP 130Å (1.7 µm, 2.1 mm x 100 mm; Waters)"	reverse phase	
Agilent 1290 Infinity LC	"Accucore aQ C18 (2.6 µm, 2.1 mm x 100 mm; Thermo Scientific)"	reverse phase	
Aglient 1290 Infinity II LC	"Accucore C18 (2.6 µm, 2.1 mm x 150 mm; Thermo Scientific)"	reverse phase	
Agilent 1290 Infinity UHPLC	"Accucore C18 (2.6 µm, 2.1 mm x 30 mm; Thermo Scientific)"	reverse phase	
Agilent 1290 Infinity II UHPLC	"Accucore C18 (2.6 µm, 2.1 mm x 100 mm; Thermo Scientific)"	reverse phase	
Beckman Coulter System Gold HPLC 127 pump	"Accucore C18 (2.6 µm, 2.1 mm x 100 mm; Thermo Scientific)"	reverse phase	
Eksigent ekspert ultraLC 110	"Accucore C30 (2.6 µm, 2.1 mm x 150 mm; Thermo Scientific)"	reverse phase	
Eksigent ekspert nanoLC 400	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	HILIC	
Eksigent NanoLC-Ultra 2D system	"Accucore HILIC (2.6 µm, 2.1 mm x 100 mm; Thermo Scientific)"	HILIC	
Eksigent UPLC system	ACQUITY UPLC BEH (1.7 µm; Waters)	HILIC	
Flux Rheos Allegro UHPLC pump	"ACQUITY UPLC BEH Amide (1.7 µm, 2.1 mm x 50 mm; Waters)"	HILIC	
Hitachi L-7100 HPLC pump	"ACQUITY UPLC BEH Amide (1.7 µm, 2.1 mm x 75 mm; Waters)"	HILIC	
Hitachi LaChrome Ultra	"ACQUITY UPLC BEH Amide (1.7 µm, 2.1 mm x 100 mm; Waters)"	HILIC	
JASCO X-LC 3085PU HPLC pump	"ACQUITY UPLC BEH Amide (1.7 µm, 2.1 mm x 150 mm; Waters)"	HILIC	
Michrom BioResources Paradigm MS4 HPLC system	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 50 mm; Waters)"	reverse phase	
SCIEX ExionLC AC	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 75 mm; Waters)"	reverse phase	
Shimadzu LC-10AD pump and SCL-10A controller	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	reverse phase	
Shimadzu LC-30A Nexera UHPLC system	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 150 mm; Waters)"	reverse phase	
Shimadzu LC-30AD pump and CBM-20A controller	"ACQUITY UPLC BEH C8 (1.7 µm, 2.1 mm x 100 mm; Waters)"	reverse phase	
Shimadzu Nexera UHPLC system	"ACQUITY UPLC BEH C8 (1.8 µm, 1 mm x 100 mm; Waters)"	reverse phase	
Shimadzu Nexera UHPLC system (LC-30AD pump and CBM-20A controller)	"ACQUITY UPLC BEH HILIC (1.7 µm, 2.1 mm x 150 mm; Waters)"	HILIC	
"Shimadzu Nexera X2 UHPLC system (binary pump, DGU-20A degasser, and CBM-20A controller)"	"ACQUITY UPLC BEH Phenyl (1.7 µm, 2.1 mm x 100 mm; Waters)"	reverse phase	
Shimadzu Prominence HPLC system	"ACQUITY UPLC BEH Shield RP18 (1.7 µm, 2.1 mm x 50 mm; Waters)"	reverse phase	
Shimadzu Prominence LC-20AD system	"ACQUITY UPLC C18 (1.7 µm, 2.1 mm x 50 mm; Waters)"	reverse phase	
Shimadzu Prominence UFLC system	"ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	reverse phase	
Shimadzu Prominence UFLCXR system	"ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 150 mm; Waters)"	reverse phase	
Shimadzu SIL20-A LC system	"ACQUITY UPLC CSH Phenyl-Hexyl (1.7 µm, 2.1 mm x 100 mm; Waters)"	reverse phase	
Thermo Scientific Accela 600 Pump	"ACQUITY UPLC HSS C18 (1.8 µm, 2.1 mm x 100 mm; Waters)"	reverse phase	
Thermo Scientific Accela 1250 Pump	"ACQUITY UPLC HSS Cyano (CN) (1.8 µm, 2.1 mm x 100 mm; Waters)"	reverse phase	
Thermo Scientific Accela II HPLC system	"ACQUITY UPLC HSS T3 (1.7 µm, 2 mm x 150 mm; Waters)"	reverse phase	
Thermo Scientific Accela UHPLC System	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	reverse phase	
Thermo Scientific Dionex Ultimate 3000 HPLC system	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 50 mm; Waters)"	reverse phase	
Thermo Scientific Dionex UltiMate 3000 System	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	reverse phase	
Thermo Scientific Dionex UltiMate 3000 RSLC System	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)"	reverse phase	
Thermo Scientific Dionex UltiMate 3000 RSLCnano System	"Alltima HP C18 (3 µm, 2.1 mm x 150 mm; Alltech)"	reverse phase	
